common_name,scientific_name,feature_group
Cauca Guan,Penelope perspicax,endemic- on route
Chestnut-winged Chachalaca,Ortalis garrula,endemic
Colombian Chachalaca,Ortalis columbiana,endemic- on route
Blue-billed Curassow,Crax alberti,endemic
Chestnut Wood-Quail,Odontophorus hyperythrus,endemic- on route
Gorgeted Wood-Quail,Odontophorus strophium,endemic
Tolima Dove,Leptotila conoveri,endemic- on route
Black-backed Thornbill,Ramphomicron dorsale,endemic
Buffy Helmetcrest,Oxypogon stuebelii,endemic- on route
Blue-bearded Helmetcrest,Oxypogon cyanolaemus,endemic
Green-bearded Helmetcrest,Oxypogon guerinii,endemic
Gorgeted Puffleg,Eriocnemis isabellae,endemic
Colorful Puffleg,Eriocnemis mirabilis,endemic
Black Inca,Coeligena prunellei,endemic
White-tailed Starfrontlet,Coeligena phalerata,endemic
Glittering Starfrontlet,Coeligena orina,endemic- on route
Golden-bellied Starfrontlet,Coeligena bonapartei,endemic
Santa Marta Woodstar,Chaetocercus astreans,endemic
Chiribiquete Emerald,Chlorostilbon olivaresi,endemic
Santa Marta Blossomcrown,Anthocephala floriceps,endemic
Tolima Blossomcrown,Anthocephala berlepschi,endemic- on route
Santa Marta Sabrewing,Campylopterus phainopeplus,endemic
Chestnut-bellied Hummingbird,Saucerottia castaneiventris,endemic
Indigo-capped Hummingbird,Saucerottia cyanifrons,endemic- on route
Sapphire-bellied Hummingbird,Chrysuronia lilliae,endemic
Bogota Rail,Rallus semiplumbeus,endemic
Santa Marta Screech-Owl,Megascops gilesi,endemic
Sooty-capped Puffbird,Nystactes noanamae,endemic
White-mantled Barbet,Capito hypoleucus,endemic
Grayish Piculet,Picumnus granadensis,endemic- on route
Beautiful Woodpecker,Melanerpes pulcher,endemic
Rufous-fronted Parakeet,Bolborhynchus ferrugineifrons,endemic- on route
Indigo-winged Parrot,Hapalopsittaca fuertesi,endemic- on route
Turquoise-winged Parrotlet,Forpus spengeli,endemic
Santa Marta Parakeet,Pyrrhura viridicata,endemic
Upper Magdalena Parakeet,Pyrrhura chapmani,endemic
Brown-breasted Parakeet,Pyrrhura calliptera,endemic
Yellow-eared Parrot,Ognorhynchus icterotis,endemic- on route
Parker's Antbird,Cercomacroides parkeri,endemic- on route
Santa Marta Antbird,Drymophila hellmayri,endemic
East Andean Antbird,Drymophila caudata,endemic
Santa Marta Antpitta,Grallaria bangsi,endemic
Cundinamarca Antpitta,Grallaria kaestneri,endemic
Boyaca Antpitta,Grallaria alticola,endemic
Urrao Antpitta,Grallaria fenwickorum,endemic
Brown-banded Antpitta,Grallaria milleri,endemic- on route
Chami Antpitta,Grallaria alvarezi,endemic- on route
Sierra Nevada Antpitta,Grallaria spatiator,endemic
