scientific_name,common_name,feature_group
Tachyeres leucocephalus,White-headed Steamer-Duck,argentina - endemic
Podiceps gallardoi,Hooded Grebe,argentina - endemic
Metriopelia morenoi,Bare-eyed Ground Dove,argentina - endemic
Teledromas fuscus,Sandy Gallito,argentina - endemic
Scytalopus superciliaris,White-browed Tapaculo,argentina - endemic
Cinclodes comechingonus,Cordoba Cinclodes,argentina - endemic
Cinclodes olrogi,Olrog's Cinclodes,argentina - endemic
Pseudasthenes patagonica,Patagonian Canastero,argentina - endemic
Pseudasthenes steinbachi,Steinbach's Canastero,argentina - endemic
Pseudoseisura gutturalis,White-throated Cacholote,argentina - endemic
Neoxolmis salinarum,Salinas Monjita,argentina - endemic
Neoxolmis rubetra,Rusty-backed Monjita,argentina - endemic
Rhynchospiza dabbenei,Yungas Sparrow,argentina - endemic
Atlapetes citrinellus,Yellow-striped Brushfinch,argentina - endemic
Sicalis mendozae,Monte Yellow-Finch,argentina - endemic
Rhopospina carbonaria,Carbonated Sierra Finch,argentina - endemic
Poospiza ornata,Cinnamon Warbling Finch,argentina - endemic
Poospiza baeri,Tucuman Mountain Finch,argentina - endemic
Pauxi unicornis,Horned Curassow,bolivia - endemic
Discosura letitiae,Coppery Thorntail,bolivia - endemic
Aglaeactis pamela,Black-hooded Sunbeam,bolivia - endemic
Myiopsitta luchsi,Cliff Parakeet,bolivia - endemic
Ara glaucogularis,Blue-throated Macaw,bolivia - endemic
Ara rubrogenys,Red-fronted Macaw,bolivia - endemic
Grallaria cochabambae,Bolivian Antpitta,bolivia - endemic
Hylopezus auricularis,Masked Antpitta,bolivia - endemic
Asthenes berlepschi,Berlepsch's Canastero,bolivia - endemic
Asthenes harterti,Black-throated Thistletail,bolivia - endemic
Cranioleuca henricae,Bolivian Spinetail,bolivia - endemic
Turdus haplochrous,Unicolored Thrush,bolivia - endemic
Atlapetes rufinucha,Bolivian Brushfinch,bolivia - endemic
Oreopsar bolivianus,Bolivian Blackbird,bolivia - endemic
Diglossa carbonaria,Gray-bellied Flowerpiercer,bolivia - endemic
Poospiza garleppi,Cochabamba Mountain Finch,bolivia - endemic
Crypturellus resonans,Slaty-masked Tinamou,brazil - endemic
Crypturellus noctivagus,Yellow-legged Tinamou,brazil - endemic
Penelope pileata,White-crested Guan,brazil - endemic
Penelope ochrogaster,Chestnut-bellied Guan,brazil - endemic
Penelope jacucaca,White-browed Guan,brazil - endemic
Ortalis araucuan,East Brazilian Chachalaca,brazil - endemic
Ortalis squamata,Scaled Chachalaca,brazil - endemic
Ortalis ruficeps,Chestnut-headed Chachalaca,brazil - endemic
Ortalis superciliaris,Buff-browed Chachalaca,brazil - endemic
Crax blumenbachii,Red-billed Curassow,brazil - endemic
Columbina cyanopis,Blue-eyed Ground Dove,brazil - endemic
Neomorphus squamiger,Scaled Ground-Cuckoo,brazil - endemic
Nyctiprogne vielliardi,Bahian Nighthawk,brazil - endemic
Nyctipolus hirundinaceus,Pygmy Nightjar,brazil - endemic
Ramphodon naevius,Saw-billed Hermit,brazil - endemic
Glaucis dohrnii,Hook-billed Hermit,brazil - endemic
Anopetia gounellei,Broad-tipped Hermit,brazil - endemic
Phaethornis squalidus,Dusky-throated Hermit,brazil - endemic
Phaethornis aethopygus,Tapajos Hermit,brazil - endemic
Phaethornis idaliae,Minute Hermit,brazil - endemic
Augastes scutatus,Hyacinth Visorbearer,brazil - endemic
Augastes lumachella,Hooded Visorbearer,brazil - endemic
Lophornis magnificus,Frilled Coquette,brazil - endemic
Lophornis chalybeus,Festive Coquette,brazil - endemic
Heliodoxa rubricauda,Brazilian Ruby,brazil - endemic
Heliomaster squamosus,Stripe-breasted Starthroat,brazil - endemic
Stephanoxis lalandi,Green-crowned Plovercrest,brazil - endemic
Campylopterus calcirupicola,Outcrop Sabrewing,brazil - endemic
Campylopterus diamantinensis,Diamantina Sabrewing,brazil - endemic
Thalurania watertonii,Long-tailed Woodnymph,brazil - endemic
Eupetomena cirrochloris,Sombre Hummingbird,brazil - endemic
Psophia viridis,Dark-winged Trumpeter,brazil - endemic
Aramides mangle,Little Wood-Rail,brazil - endemic
Leptodon forbesi,White-collared Kite,brazil - endemic
Buteogallus lacernulatus,White-necked Hawk,brazil - endemic
Glaucidium minutissimum,Least Pygmy-Owl,brazil - endemic
Jacamaralcyon tridactyla,Three-toed Jacamar,brazil - endemic
Malacoptila striata,Crescent-chested Puffbird,brazil - endemic
Nonnula amaurocephala,Chestnut-headed Nunlet,brazil - endemic
Capito brunneipectus,Brown-chested Barbet,brazil - endemic
Picumnus limae,Ochraceous Piculet,brazil - endemic
Picumnus pygmaeus,Spotted Piculet,brazil - endemic
Picumnus varzeae,Varzea Piculet,brazil - endemic
Dryobates maculifrons,Yellow-eared Woodpecker,brazil - endemic
Celeus obrieni,Kaempfer's Woodpecker,brazil - endemic
Celeus ochraceus,Ochre-backed Woodpecker,brazil - endemic
Touit melanonotus,Brown-backed Parrotlet,brazil - endemic
Touit surdus,Golden-tailed Parrotlet,brazil - endemic
Brotogeris tirica,Plain Parakeet,brazil - endemic
Triclaria malachitacea,Blue-bellied Parrot,brazil - endemic
Pyrilia aurantiocephala,Bald Parrot,brazil - endemic
Pyrilia vulturina,Vulturine Parrot,brazil - endemic
Amazona pretrei,Red-spectacled Amazon,brazil - endemic
Amazona rhodocorytha,Red-browed Amazon,brazil - endemic
Amazona brasiliensis,Red-tailed Amazon,brazil - endemic
Pyrrhura cruentata,Ochre-marked Parakeet,brazil - endemic
Pyrrhura lepida,Pearly Parakeet,brazil - endemic
Pyrrhura pfrimeri,Pfrimer's Parakeet,brazil - endemic
Pyrrhura griseipectus,Gray-breasted Parakeet,brazil - endemic
Pyrrhura leucotis,Maroon-faced Parakeet,brazil - endemic
Anodorhynchus leari,Indigo Macaw,brazil - endemic
Eupsittula cactorum,Cactus Parakeet,brazil - endemic
Aratinga jandaya,Jandaya Parakeet,brazil - endemic
Aratinga auricapillus,Golden-capped Parakeet,brazil - endemic
Guaruba guarouba,Golden Parakeet,brazil - endemic
Sakesphorus luctuosus,Glossy Antshrike,brazil - endemic
Radinopsyche sellowi,Caatinga Antwren,brazil - endemic
Thamnophilus pelzelni,Planalto Slaty-Antshrike,brazil - endemic
Thamnophilus ambiguus,Sooretama Slaty-Antshrike,brazil - endemic
Rhopias gularis,Star-throated Antwren,brazil - endemic
Clytoctantes atrogularis,Rondonia Bushbird,brazil - endemic
Sakesphoroides cristatus,Silvery-cheeked Antshrike,brazil - endemic
Dysithamnus stictothorax,Spot-breasted Antvireo,brazil - endemic
Dysithamnus xanthopterus,Rufous-backed Antvireo,brazil - endemic
Dysithamnus plumbeus,Plumbeous Antvireo,brazil - endemic
Herpsilochmus praedictus,Predicted Antwren,brazil - endemic
Herpsilochmus stotzi,Aripuana Antwren,brazil - endemic
Herpsilochmus pileatus,Bahia Antwren,brazil - endemic
Herpsilochmus pectoralis,Pectoral Antwren,brazil - endemic
Myrmotherula klagesi,Klages's Antwren,brazil - endemic
Myrmotherula minor,Salvadori's Antwren,brazil - endemic
Myrmotherula urosticta,Band-tailed Antwren,brazil - endemic
Myrmotherula fluminensis,Rio de Janeiro Antwren,brazil - endemic
Myrmotherula unicolor,Unicolored Antwren,brazil - endemic
Myrmotherula snowi,Alagoas Antwren,brazil - endemic
Formicivora iheringi,Narrow-billed Antwren,brazil - endemic
Formicivora erythronotos,Black-hooded Antwren,brazil - endemic
Formicivora serrana,Serra Antwren,brazil - endemic
Formicivora littoralis,Restinga Antwren,brazil - endemic
Formicivora grantsaui,Sincora Antwren,brazil - endemic
Formicivora acutirostris,Marsh Antwren,brazil - endemic
Drymophila ferruginea,Ferruginous Antbird,brazil - endemic
Drymophila genei,Rufous-tailed Antbird,brazil - endemic
Drymophila ochropyga,Ochre-rumped Antbird,brazil - endemic
Drymophila squamata,Scaled Antbird,brazil - endemic
Hypocnemis rondoni,Manicore Warbling-Antbird,brazil - endemic
Hypocnemis striata,Spix's Warbling-Antbird,brazil - endemic
Terenura sicki,Orange-bellied Antwren,brazil - endemic
Cercomacra brasiliana,Rio de Janeiro Antbird,brazil - endemic
Cercomacra ferdinandi,Bananal Antbird,brazil - endemic
Pyriglena similis,Tapajos Fire-eye,brazil - endemic
Pyriglena leuconota,East Amazonian Fire-eye,brazil - endemic
Pyriglena atra,Fringe-backed Fire-eye,brazil - endemic
Rhopornis ardesiacus,Slender Antbird,brazil - endemic
Myrmelastes rufifacies,Rufous-faced Antbird,brazil - endemic
Myrmoderus ruficauda,Scalloped Antbird,brazil - endemic
Myrmoderus loricatus,White-bibbed Antbird,brazil - endemic
Myrmoderus squamosus,Squamate Antbird,brazil - endemic
Rhegmatorhina gymnops,Bare-eyed Antbird,brazil - endemic
Rhegmatorhina berlepschi,Harlequin Antbird,brazil - endemic
Rhegmatorhina hoffmannsi,White-breasted Antbird,brazil - endemic
Willisornis vidua,Xingu Scale-backed Antbird,brazil - endemic
Phlegopsis borbae,Pale-faced Bare-eye,brazil - endemic
Conopophaga melanogaster,Black-bellied Gnateater,brazil - endemic
Conopophaga melanops,Black-cheeked Gnateater,brazil - endemic
Conopophaga cearae,Ceara Gnateater,brazil - endemic
Conopophaga roberti,Hooded Gnateater,brazil - endemic
Hylopezus ochroleucus,White-browed Antpitta,brazil - endemic
Hylopezus whittakeri,Alta Floresta Antpitta,brazil - endemic
Hylopezus paraensis,Snethlage's Antpitta,brazil - endemic
Myrmothera subcanescens,Tapajos Antpitta,brazil - endemic
Merulaxis ater,Slaty Bristlefront,brazil - endemic
Merulaxis stresemanni,Stresemann's Bristlefront,brazil - endemic
Eleoscytalopus psychopompus,Bahia Tapaculo,brazil - endemic
Eleoscytalopus indigoticus,White-breasted Tapaculo,brazil - endemic
Scytalopus iraiensis,Marsh Tapaculo,brazil - endemic
Scytalopus diamantinensis,Diamantina Tapaculo,brazil - endemic
Scytalopus novacapitalis,Brasilia Tapaculo,brazil - endemic
Scytalopus petrophilus,Rock Tapaculo,brazil - endemic
Scytalopus gonzagai,Boa Nova Tapaculo,brazil - endemic
Scytalopus speluncae,Mouse-colored Tapaculo,brazil - endemic
Chamaeza meruloides,Such's Antthrush,brazil - endemic
Dendrocolaptes hoffmannsi,Hoffmanns's Woodcreeper,brazil - endemic
Xiphocolaptes falcirostris,Moustached Woodcreeper,brazil - endemic
Xiphorhynchus atlanticus,Ceara Woodcreeper,brazil - endemic
Xiphorhynchus spixii,Spix's Woodcreeper,brazil - endemic
Lepidocolaptes squamatus,Scaled Woodcreeper,brazil - endemic
Furnarius figulus,Wing-banded Hornero,brazil - endemic
Cinclodes pabsti,Long-tailed Cinclodes,brazil - endemic
Anabazenops fuscus,White-collared Foliage-gleaner,brazil - endemic
Megaxenops parnaguae,Great Xenops,brazil - endemic
Cichlocolaptes leucophrus,Pale-browed Treehunter,brazil - endemic
Automolus paraensis,Para Foliage-gleaner,brazil - endemic
Automolus lammi,Pernambuco Foliage-gleaner,brazil - endemic
Leptasthenura striolata,Striolated Tit-Spinetail,brazil - endemic
Phacellodomus erythrophthalmus,Orange-eyed Thornbird,brazil - endemic
Asthenes luizae,Cipo Canastero,brazil - endemic
Asthenes moreirae,Itatiaia Spinetail,brazil - endemic
Acrobatornis fonsecai,Pink-legged Graveteiro,brazil - endemic
Thripophaga macroura,Striated Softtail,brazil - endemic
Cranioleuca pallida,Pallid Spinetail,brazil - endemic
Cranioleuca semicinerea,Gray-headed Spinetail,brazil - endemic
Cranioleuca muelleri,Scaled Spinetail,brazil - endemic
Pseudoseisura cristata,Caatinga Cacholote,brazil - endemic
Synallaxis hellmayri,Red-shouldered Spinetail,brazil - endemic
Synallaxis cinerea,Bahia Spinetail,brazil - endemic
Synallaxis infuscata,Pinto's Spinetail,brazil - endemic
Protopelma chrysolophum,Serra do Mar Tyrant-Manakin,brazil - endemic
Neopelma aurifrons,Wied's Tyrant-Manakin,brazil - endemic
Chiroxiphia bokermanni,Araripe Manakin,brazil - endemic
Ilicura militaris,Pin-tailed Manakin,brazil - endemic
Lepidothrix vilasboasi,Golden-crowned Manakin,brazil - endemic
Lepidothrix iris,Opal-crowned Manakin,brazil - endemic
Machaeropterus regulus,Kinglet Manakin,brazil - endemic
Carpornis cucullata,Hooded Berryeater,brazil - endemic
Carpornis melanocephala,Black-headed Berryeater,brazil - endemic
Cotinga maculata,Banded Cotinga,brazil - endemic
Lipaugus lanioides,Cinnamon-vented Piha,brazil - endemic
Lipaugus ater,Black-and-gold Cotinga,brazil - endemic
Lipaugus conditus,Gray-winged Cotinga,brazil - endemic
Xipholena lamellipennis,White-tailed Cotinga,brazil - endemic
Xipholena atropurpurea,White-winged Cotinga,brazil - endemic
Tityra leucura,White-tailed Tityra,brazil - endemic
Iodopleura pipra,Buff-throated Purpletuft,brazil - endemic
Onychorhynchus swainsoni,Atlantic Royal-Flycatcher,brazil - endemic
Calyptura cristata,Kinglet Calyptura,brazil - endemic
Pogonotriccus difficilis,Serra do Mar Bristle-Tyrant,brazil - endemic
Phylloscartes kronei,Restinga Tyrannulet,brazil - endemic
Phylloscartes beckeri,Bahia Tyrannulet,brazil - endemic
Phylloscartes ceciliae,Alagoas Tyrannulet,brazil - endemic
Phylloscartes roquettei,Minas Gerais Tyrannulet,brazil - endemic
Phylloscartes oustaleti,Oustalet's Tyrannulet,brazil - endemic
Hemitriccus orbitatus,Eye-ringed Tody-Tyrant,brazil - endemic
Hemitriccus nidipendulus,Hangnest Tody-Tyrant,brazil - endemic
Hemitriccus mirandae,Buff-breasted Tody-Tyrant,brazil - endemic
Hemitriccus kaempferi,Kaempfer's Tody-Tyrant,brazil - endemic
Hemitriccus furcatus,Fork-tailed Pygmy-Tyrant,brazil - endemic
Poecilotriccus senex,Buff-cheeked Tody-Flycatcher,brazil - endemic
Todirostrum poliocephalum,Gray-headed Tody-Flycatcher,brazil - endemic
Zimmerius chicomendesi,Chico's Tyrannulet,brazil - endemic
Elaenia ridleyana,Noronha Elaenia,brazil - endemic
Phyllomyias griseocapilla,Gray-capped Tyrannulet,brazil - endemic
Polystictus superciliaris,Gray-backed Tachuri,brazil - endemic
Attila rufus,Gray-hooded Attila,brazil - endemic
Casiornis fuscus,Ash-throated Casiornis,brazil - endemic
Knipolegus franciscanus,Caatinga Black-Tyrant,brazil - endemic
Knipolegus nigerrimus,Velvety Black-Tyrant,brazil - endemic
Hylophilus amaurocephalus,Gray-eyed Greenlet,brazil - endemic
Tunchiornis rubrifrons,Para Brownlet,brazil - endemic
Vireo gracilirostris,Noronha Vireo,brazil - endemic
Cyanocorax cyanopogon,White-naped Jay,brazil - endemic
Cantorchilus longirostris,Long-billed Wren,brazil - endemic
Cantorchilus griseus,Gray Wren,brazil - endemic
Polioptila attenboroughi,Inambari Gnatcatcher,brazil - endemic
Spinus yarrellii,Yellow-faced Siskin,brazil - endemic
Arremon franciscanus,São Francisco Sparrow,brazil - endemic
Arremon semitorquatus,Half-collared Sparrow,brazil - endemic
Icterus jamacaii,Campo Troupial,brazil - endemic
Anumara forbesi,Forbes's Blackbird,brazil - endemic
Agelaioides fringillarius,Pale Baywing,brazil - endemic
Myiothlypis leucophrys,White-striped Warbler,brazil - endemic
Orthogonys chloricterus,Olive-green Tanager,brazil - endemic
Nemosia rourei,Cherry-throated Tanager,brazil - endemic
Compsothraupis loricata,Scarlet-throated Tanager,brazil - endemic
Orchesticus abeillei,Brown Tanager,brazil - endemic
Hemithraupis ruficapilla,Rufous-headed Tanager,brazil - endemic
Conothraupis mesoleuca,Cone-billed Tanager,brazil - endemic
Ramphocelus bresilius,Brazilian Tanager,brazil - endemic
Dacnis nigripes,Black-legged Dacnis,brazil - endemic
Sporophila melanogaster,Black-bellied Seedeater,brazil - endemic
Sporophila ardesiaca,Dubois's Seedeater,brazil - endemic
Sporophila frontalis,Buffy-fronted Seedeater,brazil - endemic
Sporophila beltoni,Tropeiro Seedeater,brazil - endemic
Sporophila albogularis,White-throated Seedeater,brazil - endemic
Embernagra longicauda,Pale-throated Pampa-Finch,brazil - endemic
Castanozoster thoracicus,Bay-chested Warbling Finch,brazil - endemic
Microspingus lateralis,Buff-throated Warbling Finch,brazil - endemic
Microspingus cinereus,Cinereous Warbling Finch,brazil - endemic
Paroaria dominicana,Red-cowled Cardinal,brazil - endemic
Paroaria baeri,Crimson-fronted Cardinal,brazil - endemic
Schistochlamys ruficapillus,Cinnamon Tanager,brazil - endemic
Stilpnia peruviana,Black-backed Tanager,brazil - endemic
Tangara fastuosa,Seven-colored Tanager,brazil - endemic
Tangara cyanocephala,Red-necked Tanager,brazil - endemic
Tangara desmaresti,Brassy-breasted Tanager,brazil - endemic
Tangara cyanoventris,Gilt-edged Tanager,brazil - endemic
Thraupis cyanoptera,Azure-shouldered Tanager,brazil - endemic
Thraupis ornata,Golden-chevroned Tanager,brazil - endemic
Nothoprocta perdicaria,Chilean Tinamou,chile - endemic
Sephanoides fernandensis,Juan Fernandez Firecrown,chile - endemic
Eulidia yarrellii,Chilean Woodstar,chile - endemic
Enicognathus leptorhynchus,Slender-billed Parakeet,chile - endemic
Pteroptochos megapodius,Moustached Turca,chile - endemic
Scelorchilus albicollis,White-throated Tapaculo,chile - endemic
Scytalopus fuscus,Dusky Tapaculo,chile - endemic
Ochetorhynchus melanurus,Crag Chilia,chile - endemic
Cinclodes nigrofumosus,Seaside Cinclodes,chile - endemic
Aphrastura masafuerae,Masafuera Rayadito,chile - endemic
Pseudasthenes humicola,Dusky-tailed Canastero,chile - endemic
Anairetes fernandezianus,Juan Fernandez Tit-Tyrant,chile - endemic
Penelope perspicax,Cauca Guan,colombia - endemic
Ortalis garrula,Chestnut-winged Chachalaca,colombia - endemic
Ortalis columbiana,Colombian Chachalaca,colombia - endemic
Crax alberti,Blue-billed Curassow,colombia - endemic
Odontophorus hyperythrus,Chestnut Wood-Quail,colombia - endemic
Odontophorus strophium,Gorgeted Wood-Quail,colombia - endemic
Leptotila conoveri,Tolima Dove,colombia - endemic
Heliangelus zusii,Bogota Sunangel,colombia - endemic
Ramphomicron dorsale,Black-backed Thornbill,colombia - endemic
Oxypogon stuebelii,Buffy Helmetcrest,colombia - endemic
Oxypogon cyanolaemus,Blue-bearded Helmetcrest,colombia - endemic
Oxypogon guerinii,Green-bearded Helmetcrest,colombia - endemic
Eriocnemis isabellae,Gorgeted Puffleg,colombia - endemic
Eriocnemis mirabilis,Colorful Puffleg,colombia - endemic
Coeligena prunellei,Black Inca,colombia - endemic
Coeligena phalerata,White-tailed Starfrontlet,colombia - endemic
Coeligena orina,Dusky Starfrontlet,colombia - endemic
Chaetocercus astreans,Santa Marta Woodstar,colombia - endemic
Chlorostilbon olivaresi,Chiribiquete Emerald,colombia - endemic
Anthocephala floriceps,Santa Marta Blossomcrown,colombia - endemic
Anthocephala berlepschi,Tolima Blossomcrown,colombia - endemic
Campylopterus phainopeplus,Santa Marta Sabrewing,colombia - endemic
Saucerottia cyanifrons,Indigo-capped Hummingbird,colombia - endemic
Saucerottia castaneiventris,Chestnut-bellied Hummingbird,colombia - endemic
Chrysuronia lilliae,Sapphire-bellied Hummingbird,colombia - endemic
Megascops gilesi,Santa Marta Screech-Owl,colombia - endemic
Bucco noanamae,Sooty-capped Puffbird,colombia - endemic
Capito hypoleucus,White-mantled Barbet,colombia - endemic
Picumnus granadensis,Grayish Piculet,colombia - endemic
Melanerpes pulcher,Beautiful Woodpecker,colombia - endemic
Bolborhynchus ferrugineifrons,Rufous-fronted Parakeet,colombia - endemic
Hapalopsittaca fuertesi,Indigo-winged Parrot,colombia - endemic
Forpus spengeli,Turquoise-winged Parrotlet,colombia - endemic
Pyrrhura viridicata,Santa Marta Parakeet,colombia - endemic
Pyrrhura calliptera,Brown-breasted Parakeet,colombia - endemic
Drymophila hellmayri,Santa Marta Antbird,colombia - endemic
Drymophila caudata,East Andean Antbird,colombia - endemic
Cercomacroides parkeri,Parker's Antbird,colombia - endemic
Grallaria bangsi,Santa Marta Antpitta,colombia - endemic
Grallaria kaestneri,Cundinamarca Antpitta,colombia - endemic
Grallaria spatiator,Sierra Nevada Antpitta,colombia - endemic
Grallaria alvarezi,Chami Antpitta,colombia - endemic
Grallaria urraoensis,Urrao Antpitta,colombia - endemic
Grallaria milleri,Brown-banded Antpitta,colombia - endemic
Scytalopus canus,Paramillo Tapaculo,colombia - endemic
Scytalopus sanctaemartae,Santa Marta Tapaculo,colombia - endemic
Scytalopus rodriguezi,Magdalena Tapaculo,colombia - endemic
Scytalopus stilesi,Stiles's Tapaculo,colombia - endemic
Scytalopus alvarezlopezi,Tatama Tapaculo,colombia - endemic
Scytalopus latebricola,Brown-rumped Tapaculo,colombia - endemic
Clibanornis rufipectus,Santa Marta Foliage-gleaner,colombia - endemic
Synallaxis subpudica,Silvery-throated Spinetail,colombia - endemic
Synallaxis fuscorufa,Rusty-headed Spinetail,colombia - endemic
Lipaugus weberi,Chestnut-capped Piha,colombia - endemic
Pogonotriccus lanyoni,Antioquia Bristle-Tyrant,colombia - endemic
Camptostoma caucae,Cauca Beardless-Tyrannulet,colombia - endemic
Myiarchus apicalis,Apical Flycatcher,colombia - endemic
Myiotheretes pernix,Santa Marta Bush-Tyrant,colombia - endemic
Troglodytes monticola,Santa Marta Wren,colombia - endemic
Cistothorus apolinari,Apolinar's Wren,colombia - endemic
Thryophilus sernai,Antioquia Wren,colombia - endemic
Thryophilus nicefori,Niceforo's Wren,colombia - endemic
Henicorhina anachoreta,Hermit Wood-Wren,colombia - endemic
Henicorhina negreti,Munchique Wood-Wren,colombia - endemic
Euphonia concinna,Velvet-fronted Euphonia,colombia - endemic
Arremon basilicus,Sierra Nevada Brushfinch,colombia - endemic
Atlapetes melanocephalus,Santa Marta Brushfinch,colombia - endemic
Atlapetes flaviceps,Yellow-headed Brushfinch,colombia - endemic
Atlapetes fuscoolivaceus,Dusky-headed Brushfinch,colombia - endemic
Atlapetes blancae,Antioquia Brushfinch,colombia - endemic
Psarocolius cassini,Baudo Oropendola,colombia - endemic
Hypopyrrhus pyrohypogaster,Red-bellied Grackle,colombia - endemic
Macroagelaius subalaris,Mountain Grackle,colombia - endemic
Myiothlypis basilica,Santa Marta Warbler,colombia - endemic
Myiothlypis conspicillata,White-lored Warbler,colombia - endemic
Myioborus flavivertex,Yellow-crowned Whitestart,colombia - endemic
Driophlox gutturalis,Sooty Ant-Tanager,colombia - endemic
Driophlox cristata,Crested Ant-Tanager,colombia - endemic
Diglossa gloriosissima,Chestnut-bellied Flowerpiercer,colombia - endemic
Dacnis hartlaubi,Turquoise Dacnis,colombia - endemic
Chlorochrysa nitidissima,Multicolored Tanager,colombia - endemic
Dubusia carrikeri,Carriker's Mountain Tanager,colombia - endemic
Anisognathus melanogenys,Black-cheeked Mountain Tanager,colombia - endemic
