Row #,Taxon Order,Category,Common Name,Scientific Name,Count,Location,S/P,Date,LocID,SubID,Exotic,Countable
1,17320,species,Pale-edged Flycatcher,Myiarchus cephalotes,1,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
2,16746,species,Torrent Tyrannulet,Serpophaga cinerea,1,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
3,16048,species,White-winged Becard,Pachyramphus polychopterus,2,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
4,10818,species,Red-headed Barbet,Eubucco bourcierii,1,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
5,7484,species,Buff-necked Ibis,Theristicus caudatus,2,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
6,3026,species,Smooth-billed Ani,Crotophaga ani,2,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
7,2268,species,Ruddy Ground Dove,Columbina talpacoti,4,Cascadas de Santa Rita,CO-QUI,29 Aug 2026,L24451230,S387994721,,1
8,34491,species,Crested Ant-Tanager,Driophlox cristata,2,SFF Otún Quimbaya,CO-RIS,25 Aug 2026,L1433708,S386928180,,1
9,27674,species,White-capped Dipper,Cinclus leucocephalus,1,SFF Otún Quimbaya,CO-RIS,25 Aug 2026,L1433708,S386928180,,1
10,15911,species,Red-ruffed Fruitcrow,Pyroderus scutatus,1,SFF Otún Quimbaya,CO-RIS,25 Aug 2026,L1433708,S386928180,,1
11,916,species,Cauca Guan,Penelope perspicax,7,SFF Otún Quimbaya,CO-RIS,25 Aug 2026,L1433708,S386928180,,1
12,6109,species,Noble Snipe,Gallinago nobilis,1,"Vía al Parque de los Nevados, Caldas, CO (4.869, -75.402)",CO-CAL,23 Aug 2026,L76131701,S386368464,,1
13,7810,species,Andean Condor,Vultur gryphus,1,Hostal La Laguna,CO-CAL,22 Aug 2026,L5251533,S386368421,,1
14,35115,species,Golden Tanager,Tangara arthus,1,Ecoparque Los Alcázares-Arenillo,CO-CAL,21 Aug 2026,L2414386,S385442159,,1
15,34360,species,Slate-throated Redstart,Myioborus miniatus,2,Ecoparque Los Alcázares-Arenillo,CO-CAL,21 Aug 2026,L2414386,S385442159,,1
16,16554,species,Southern Beardless-Tyrannulet,Camptostoma obsoletum,1,Ecoparque Los Alcázares-Arenillo,CO-CAL,21 Aug 2026,L2414386,S385442159,,1
17,12974,species,Scaly-naped Amazon,Amazona mercenarius,8,Ecoparque Los Alcázares-Arenillo,CO-CAL,21 Aug 2026,L2414386,S385442159,,1
18,35583,species,Yellow-bellied Seedeater,Sporophila nigricollis,1,Hacienda Venecia,CO-CAL,20 Aug 2026,L7828681,S385151298,,1
19,28101,species,Tropical Mockingbird,Mimus gilvus,1,Hacienda Venecia,CO-CAL,20 Aug 2026,L7828681,S385151298,,1
20,27209,species,Southern House Wren,Troglodytes musculus,3,Hacienda Venecia,CO-CAL,20 Aug 2026,L7828681,S385151298,,1
21,13536,species,Black-crowned Antshrike,Thamnophilus atrinucha,1,Hacienda Venecia,CO-CAL,20 Aug 2026,L7828681,S385151298,,1
22,13518,species,Bar-crested Antshrike,Thamnophilus multistriatus,1,Hacienda Venecia,CO-CAL,20 Aug 2026,L7828681,S385151298,,1
23,16998,species,Black Phoebe,Sayornis nigricans,,"Unnamed Road, Caldas",CO-CAL,19 Aug 2026,L75898099,S384999825,,1
24,35692,species,Yellow-faced Grassquit,Tiaris olivaceus,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
25,35644,species,Bananaquit,Coereba flaveola,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
26,35027,species,Blue-necked Tanager,Stilpnia cyanicollis,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
27,33436,species,White-naped Brushfinch,Atlapetes albinucha,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
28,33081,species,Chestnut-capped Brushfinch,Arremon brunneinucha,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
29,27612,species,Gray-breasted Wood-Wren,Henicorhina leucophrys,2,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
30,27456,species,Whiskered Wren,Pheugopedius mystacalis,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
31,14449,species,Tatama Tapaculo,Scytalopus alvarezlopezi,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
32,14258,species,Yellow-breasted Antpitta,Grallaria flavotincta,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
33,13905,species,Parker's Antbird,Cercomacroides parkeri,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
34,13627,species,Plain Antvireo,Dysithamnus mentalis,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
35,4710,species,Empress Brilliant,Heliodoxa imperatrix,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
36,4706,species,Green-crowned Brilliant,Heliodoxa jacula,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
37,4343,species,White-throated Daggerbill,Schistes albogularis,1,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
38,4265,species,Tawny-bellied Hermit,Phaethornis syrmatophorus,2,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
39,1157,species,Chestnut Wood-Quail,Odontophorus hyperythrus,4,Fantasmas del bosque birding,CO-RIS,18 Aug 2026,L27837084,S384683308,,1
40,35789,species,Black-winged Saltator,Saltator atripennis,1,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
41,35188,species,Green Honeycreeper,Chlorophanes spiza,1,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
42,35020,species,Scrub Tanager,Stilpnia vitriolina,1,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
43,34270,species,Three-striped Warbler,Basileuterus tristriatus,1,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
44,15969,species,Masked Tityra,Tityra semifasciata,2,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
45,10433,species,Moustached Puffbird,Malacoptila mystacalis,1,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
46,4914,species,Western Emerald,Chlorostilbon melanorhynchus,1,"Unnamed Road, Risaralda, CO (5.16, -75.885)",CO-RIS,17 Aug 2026,L75814186,S384505947,,1
47,12895,species,Bronze-winged Parrot,Pionus chalcopterus,2,"Riosucio - Jardin, Caldas, CO (5.419, -75.741)",CO-CAL,16 Aug 2026,L75814193,S384506038,,1
48,13189,species,Scarlet-fronted Parakeet,Psittacara wagleri,2,RN La Cueva del Esplendor,CO-ANT,14 Aug 2026,L4681373,S383362706,,1
49,34957,species,Palm Tanager,Thraupis palmarum,1,Reserva Los Guácharos,CO-ANT,13 Aug 2026,L41970387,S383035875,,1
50,33900,species,Red-bellied Grackle,Hypopyrrhus pyrohypogaster,6,Reserva Los Guácharos,CO-ANT,13 Aug 2026,L41970387,S383035875,,1
51,15900,species,Andean Cock-of-the-rock,Rupicola peruvianus,5,Reserva Los Guácharos,CO-ANT,13 Aug 2026,L41970387,S383035875,,1
52,14921,species,Streak-headed Woodcreeper,Lepidocolaptes souleyetii,1,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
53,11852,species,Golden-olive Woodpecker,Colaptes rubiginosus,2,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
54,11171,species,Red-crowned Woodpecker,Melanerpes rubricapillus,1,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
55,8449,species,White-tailed Hawk,Geranoaetus albicaudatus,2,La Oculta Lodge,CO-ANT,11 Aug 2026,L7358296,S382894376,,1
56,34796,species,Flame-rumped Tanager,Ramphocelus flammigerus,1,"San Felix, Salamina, Caldas",CO-CAL,10 Aug 2026,L16626902,S382893632,,1
57,33889,species,Carib Grackle,Quiscalus lugubris,1,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,,1
58,12889,species,Blue-headed Parrot,Pionus menstruus,1,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,,1
59,1853,species,Rock Pigeon,Columba livia,1,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,N,1
60,961,species,Colombian Chachalaca,Ortalis columbiana,5,"Carrera 8, Salamina, Caldas, CO (5.404, -75.486)",CO-CAL,09 Aug 2026,L75326199,S381695130,,1
61,35483,species,Grassland Yellow-Finch,Sicalis luteola,3,"Unnamed Road, Caldas, CO (5.391, -75.351)",CO-CAL,08 Aug 2026,L75326221,S381695246,,1
62,13162,species,Yellow-eared Parrot,Ognorhynchus icterotis,2,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,07 Aug 2026,L74940663,S381695326,,1
63,24116,species,Southern Rough-winged Swallow,Stelgidopteryx ruficollis,11,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
64,17423,species,Golden-bellied Flycatcher,Myiodynastes hemichrysus,3,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
65,10845,species,Southern Emerald-Toucanet,Aulacorhynchus albivitta,2,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
66,5896,species,Southern Lapwing,Vanellus chilensis,4,"8-08 Avenida La Sultana, Manizales, Caldas",CO-CAL,06 Aug 2026,L74940663,S381695402,,1
67,7478,species,Bare-faced Ibis,Phimosus infuscatus,,"57C-32 Carrera 8A2, MANIZALEZ, Caldas",CO-CAL,06 Aug 2026,L75113982,S380504053,,1
68,33694,species,Yellow-backed Oriole,Icterus chrysater,,"61b-1 Carrera 15b, Manizales, Caldas",CO-CAL,04 Aug 2026,L75007548,S379902693,,1
69,35845,species,Masked Saltator,Saltator cinctus,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
70,35389,species,Slaty Finch,Haplospiza rustica,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
71,35041,species,Beryl-spangled Tanager,Tangara nigroviridis,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
72,35036,species,Blue-and-black Tanager,Tangara vassorii,4,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
73,34917,species,Fawn-breasted Tanager,Pipraeidea melanonota,1,Reserva Ecológica Río Blanco--Lodge,CO-CAL,03 Aug 2026,L1252500,S381283827,,1
